"cell_type","gene_identifier","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2 proliferating","DTYMK","","","","","","","","","","","","","","","","","","","","","","","",""
"EC arterial","IGFBP3","","","","","","","","","","","","","","","","","","","","","","","",""
"EC arterial","DKK2","","","","","","","","","","","","","","","","","","","","","","","",""
"EC arterial","CXCL12","","","","","","","","","","","","","","","","","","","","","","","",""
"EC arterial","GJA5","","","","","","","","","","","","","","","","","","","","","","","",""
"EC arterial","HEY1","","","","","","","","","","","","","","","","","","","","","","","",""
"EC arterial","EFNB2","","","","","","","","","","","","","","","","","","","","","","","",""
"EC arterial","CYYR1","","","","","","","","","","","","","","","","","","","","","","","",""
"EC arterial","PALMD","","","","","","","","","","","","","","","","","","","","","","","",""
"EC aerocyte capillary","HPGD","","","","","","","","","","","","","","","","","","","","","","","",""
"EC aerocyte capillary","EDNRB","","","","","","","","","","","","","","","","","","","","","","","",""
"EC aerocyte capillary","SOSTDC1","","","","","","","","","","","","","","","","","","","","","","","",""
"EC aerocyte capillary","IL1RL1","","","","","","","","","","","","","","","","","","","","","","","",""
"EC aerocyte capillary","S100A3","","","","","","","","","","","","","","","","","","","","","","","",""
"EC aerocyte capillary","FRY","","","","","","","","","","","","","","","","","","","","","","","",""
"EC aerocyte capillary","PRX","","","","","","","","","","","","","","","","","","","","","","","",""
"EC aerocyte capillary","B3GALNT1","","","","","","","","","","","","","","","","","","","","","","","",""
"EC aerocyte capillary","TSPAN12","","","","","","","","","","","","","","","","","","","","","","","",""
"EC aerocyte capillary","ACE","","","","","","","","","","","","","","","","","","","","","","","",""
"EC general capillary","IL7R","","","","","","","","","","","","","","","","","","","","","","","",""
"EC general capillary","SLC6A4","","","","","","","","","","","","","","","","","","","","","","","",""
"EC general capillary","CD36","","","","","","","","","","","","","","","","","","","","","","","",""
"EC general capillary","CA4","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous systemic","ACKR1","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous systemic","PLVAP","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous systemic","DUSP23","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous systemic","SNCG","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous systemic","SELM","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous systemic","HSPG2","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous systemic","CD34","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous pulmonary","ACKR1","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous pulmonary","C7","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous pulmonary","CPE","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous pulmonary","PTGDS","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous pulmonary","PLA1A","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous pulmonary","CCL23","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous pulmonary","PLAT","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous pulmonary","IL1R1","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous pulmonary","RGS5","","","","","","","","","","","","","","","","","","","","","","","",""
"EC venous pulmonary","HSPG2","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC mature","CCL21","","","","","","","","","","","","","","","","","","","","","","","",""
