,gene_symbol,alias
658,FHIP1B,FAM160A2
659,HERPUD1,HERPUD1
660,HOMER3,HOMER3
661,RAD51,RAD51
662,POLQ,POLQ
663,PIK3CB,PIK3CB
664,CYBA,CYBA
665,THOC3,THOC3
666,HEBP2,HEBP2
667,MPHOSPH9,MPHOSPH9
668,PLEKHA5,PLEKHA5
669,PRSS8,PRSS8
670,SIKE1,SIKE1
671,RRP12,RRP12
672,FNIP2,FNIP2
673,MSMO1,MSMO1
674,TTC17,TTC17
675,ALX4,ALX4
676,FSTL4,FSTL4
677,FOXN3,FOXN3
678,METTL24,METTL24
679,AKR7A2,AKR7A2
680,MRTO4,MRTO4
681,NNAT,NNAT
682,USE1,USE1
683,MCF2L2,MCF2L2
684,NRIP2,NRIP2
685,LAMA3,LAMA3
686,AP5M1,AP5M1
687,ANAPC4,ANAPC4
688,KCNQ1,KCNQ1
689,TRAPPC3,TRAPPC3
690,THRAP3,THRAP3
691,PHPT1,PHPT1
692,ENTPD2,ENTPD2
693,ARID4B,ARID4B
694,OPN3,OPN3
695,SDCCAG8,SDCCAG8
696,PTPRN,PTPRN
697,HHAT,HHAT
698,KIF1B,KIF1B
699,FOXC1,FOXC1
700,TBC1D22A,TBC1D22A
701,SYNE2,SYNE2
702,PLEKHH1,PLEKHH1
703,ATP9A,ATP9A
704,SPO11,SPO11
705,CHRDL2,CHRDL2
706,FAM168A,FAM168A
707,RELT,RELT
708,GALC,GALC
709,NOP58,NOP58
710,SZRD1,SZRD1
711,KCNH2,KCNH2
712,CUL1,CUL1
713,FAM114A2,FAM114A2
714,CYFIP2,CYFIP2
715,TAB2,TAB2
716,GINM1,GINM1
717,EIF2AK2,EIF2AK2
718,USP36,USP36
719,KMT2C,KMT2C
720,MCOLN3,MCOLN3
721,PUM2,PUM2
722,MRPL43,MRPL43
723,ITIH4,ITIH4
724,ITIH1,ITIH1
725,HPF1,HPF1
726,ZFR,ZFR
727,ZNF280C,ZNF280C
728,NPFFR2,NPFFR2
729,PHF21B,PHF21B
730,TRAF1,TRAF1
731,RC3H2,RC3H2
732,IL17RB,IL17RB
733,TRAF3IP2,TRAF3IP2
734,GYG2,GYG2
735,DCBLD2,DCBLD2
736,SERPINB3,SERPINB3
737,SOAT1,SOAT1
738,PKP2,PKP2
739,MSH4,MSH4
740,GDI2,GDI2
741,PRDM1,PRDM1
742,ATG5,ATG5
743,TMCC3,TMCC3
744,PITHD1,PITHD1
745,MTA3,MTA3
746,USP13,USP13
747,ATP11B,ATP11B
748,LAMC2,LAMC2
749,CDK14,CDK14
750,SEC61A1,SEC61A1
751,PPP1R12A,PPP1R12A
752,RASGRF1,RASGRF1
753,CAMK2B,CAMK2B
754,CROCC,CROCC
755,POLR3E,POLR3E
756,ATP2B4,ATP2B4
757,ZC3H11A,ZC3H11A
758,RIOK2,RIOK2
759,YIPF1,YIPF1
760,NDC1,NDC1
761,DGKG,DGKG
762,FLYWCH1,FLYWCH1
763,UNKL,UNKL
764,TBXAS1,TBXAS1
765,PARP12,PARP12
766,ALDH18A1,ALDH18A1
767,TARBP1,TARBP1
768,GATB,GATB
769,MXD1,MXD1
770,CDK17,CDK17
771,DNAJC25,DNAJC25
772,SLC2A3,SLC2A3
773,PSD,PSD
774,CTDP1,CTDP1
775,YBX3,YBX3
776,STYK1,STYK1
777,WNK1,WNK1
778,RPS17P5,RPS17P5
779,CCAR1,CCAR1
780,OGFR,OGFR
781,GNA15,GNA15
782,CREB3L3,CREB3L3
783,PIGV,PIGV
784,PTPRU,PTPRU
785,SNRNP40,SNRNP40
786,RIMBP2,RIMBP2
787,COL11A1,COL11A1
788,QSER1,QSER1
789,MPC1,MPC1
790,ACAA1,ACAA1
791,BCAT1,BCAT1
792,HDAC7,HDAC7
793,LZTS1,LZTS1
794,PRDM6,PRDM6
795,WNT8A,WNT8A
796,SPAG4,SPAG4
797,NCKAP1,NCKAP1
798,MRPS35,MRPS35
799,GUCY1B1,GUCY1B1
800,SFSWAP,SFSWAP
801,TNK2,TNK2
802,MON2,MON2
803,CDH3,CDH3
804,ARSF,ARSF
805,GPBP1,GPBP1
806,DGAT2,DGAT2
807,ZNF112,ZNF112
808,CS,CS
809,LTK,LTK
810,ELMO2,ELMO2
811,WAPL,WAPL
812,VMP1,VMP1
813,APPBP2,APPBP2
814,POLD1,POLD1
815,SEZ6,SEZ6
816,EIF4B,EIF4B
817,SLC6A16,SLC6A16
818,SPHK2,SPHK2
819,RPL18,RPL18
820,CA11,CA11
821,ISOC2,ISOC2
822,U2AF2,U2AF2
823,EPN1,EPN1
824,MED29,MED29
825,AHRR,AHRR
826,ZNF275,ZNF275
827,MTMR1,MTMR1
828,GPC1,GPC1
829,ADCK1,ADCK1
830,HAGH,HAGH
831,RNF4,RNF4
832,CASP8,CASP8
833,LIMCH1,LIMCH1
834,INTS13,INTS13
835,TM7SF3,TM7SF3
836,DLX3,DLX3
837,SPA17,SPA17
838,TSPAN32,TSPAN32
839,KCNK15-AS1,WISP2
840,DMRT3,DMRT3
841,ST3GAL6,ST3GAL6
842,ATP2C2,ATP2C2
843,NGFR,NGFR
844,CDON,CDON
845,TAF2,TAF2
846,HIPK2,HIPK2
847,TNPO3,TNPO3
848,BORCS8-MEF2B,BORCS8-MEF2B
849,RFXANK,RFXANK
850,TMEM161A,TMEM161A
851,LPAR2,LPAR2
852,CTSA,CTSA
853,SUGP2,SUGP2
854,SLC12A2,SLC12A2
855,SNX24,SNX24
856,EYA2,EYA2
857,CNN2,CNN2
858,ABCA7,ABCA7
859,SNCAIP,SNCAIP
860,DDX20,DDX20
861,BTBD1,BTBD1
862,FAR2,FAR2
863,BCAS1,BCAS1
864,POU1F1,POU1F1
865,CHI3L2,CHI3L2
866,SBNO2,SBNO2
867,PMS1,PMS1
868,HMG20B,HMG20B
869,CALCRL,CALCRL
870,TAF11,TAF11
871,ANKS1A,ANKS1A
872,AP3D1,AP3D1
873,ZNF76,ZNF76
874,SLC9A3R2,SLC9A3R2
875,NTHL1,NTHL1
876,UHRF1BP1,UHRF1BP1
877,GNAI3,GNAI3
878,IPO5,IPO5
879,OAT,OAT
880,WDR3,WDR3
881,PKN2,PKN2
882,WDR18,WDR18
883,TRAM2,TRAM2
884,NTN1,NTN1
885,GLP2R,GLP2R
886,MCM10,MCM10
887,DGKA,DGKA
888,ERBB3,ERBB3
889,ANKRD44,ANKRD44
890,KARS1,KARS
891,ADAT1,ADAT1
892,PDIA5,PDIA5
893,TBC1D22B,TBC1D22B
894,NDUFB4,NDUFB4
895,SPEN,SPEN
896,MYLK,MYLK
897,ZC3H15,ZC3H15
898,MAP2K4,MAP2K4
899,PACC1,TMEM206
900,SNAP91,SNAP91
901,SLK,SLK
902,CYB5R4,CYB5R4
903,COL17A1,COL17A1
904,GSTO2,GSTO2
905,SEC61A2,SEC61A2
906,PRKCQ,PRKCQ
907,TLE2,TLE2
908,ASB1,ASB1
909,FAM107B,FAM107B
910,ME1,ME1
911,TBC1D1,TBC1D1
912,CDK13,CDK13
913,MTHFD2,MTHFD2
914,SLC9A7,SLC9A7
915,FOXJ2,FOXJ2
916,YBX1,YBX1
917,PDE4A,PDE4A
918,PPP2R5A,PPP2R5A
919,CTNNA2,CTNNA2
920,ELAVL1,ELAVL1
921,TIE1,TIE1
922,DIP2B,DIP2B
923,SMARCD1,SMARCD1
924,KDM4A,KDM4A
925,NFYC,NFYC
926,ZMYND12,ZMYND12
927,SLC9A3,SLC9A3
928,NGEF,NGEF
929,ASPM,ASPM
930,CD84,CD84
931,ELOVL1,ELOVL1
932,SPI1,SPI1
933,POLR1H,ZNRD1
934,MPPED2,MPPED2
935,CLDN18,CLDN18
936,ZBTB11,ZBTB11
937,ATXN3,ATXN3
938,GOLGA5,GOLGA5
939,FGFR2,FGFR2
940,LRRC40,LRRC40
941,ISOC1,ISOC1
942,EML1,EML1
943,TRMT11,TRMT11
944,THUMPD1,THUMPD1
945,MSANTD3,MSANTD3
946,ATG2B,ATG2B
947,ARFGEF1,ARFGEF1
948,ACSM2B,ACSM2B
949,ZFAT,ZFAT
950,MTFR1,MTFR1
951,STAG3,STAG3
952,FECH,FECH
953,MYO9A,MYO9A
954,DDX3Y,DDX3Y
955,PFKP,PFKP
956,IDI1,IDI1
957,SP100,SP100
958,KLF6,KLF6
959,PLPP1,PLPP1
960,NEO1,NEO1
961,TRAM1,TRAM1
962,PHKA1,PHKA1
963,TNFRSF1A,TNFRSF1A
964,CACNB1,CACNB1
965,EVI5,EVI5
966,STOML1,STOML1
967,PKM,PKM
968,DHX29,DHX29
969,DNTTIP2,DNTTIP2
970,METTL22,METTL22
971,TP53BP1,TP53BP1
972,TRO,TRO
973,RRP15,RRP15
974,RHOA,RHOA
975,DHX8,DHX8
976,PMS2P4,PMS2P4
977,PRKCZ,PRKCZ
978,ZFY,ZFY
979,IARS2,IARS2
980,SYT1,SYT1
981,NAV3,NAV3
982,IDH3G,IDH3G
983,ROGDI,ROGDI
984,PDZD4,PDZD4
985,ATP2B3,ATP2B3
986,ROCK1,ROCK1
987,CBFB,CBFB
988,PDK3,PDK3
989,HYAL2,HYAL2
990,HDAC4,HDAC4
991,RASSF1,RASSF1
992,FGFR3,FGFR3
993,IFI35,IFI35
994,HEATR6,HEATR6
995,COASY,COASY
996,PLEKHH3,PLEKHH3
997,MEF2A,MEF2A
998,OTUD5,OTUD5
999,TFE3,TFE3
1000,TBC1D25,TBC1D25
1001,ACSL4,ACSL4
1002,INPP5A,INPP5A
1003,GPKOW,GPKOW
1004,GRIPAP1,GRIPAP1
1005,FTSJ1,FTSJ1
1006,PRR11,PRR11
1007,REEP1,REEP1
1008,ATP11A,ATP11A
1009,POLR1A,POLR1A
1010,LAPTM4A,LAPTM4A
