Run,cell_type
SRR10793053,Monocyte conventional
SRR10788892,Endothelial cell
SRR10797410,Fibroblast adventitial
SRR10796558,Fibroblast adventitial
SRR10787755,T cell CD8
SRR10796984,T cell CD8
SRR10778359,cDC2
SRR10788199,DC mature
SRR10795807,T cell CD4
SRR10788507,Alveolar cell type 2
SRR10795370,Epithelial cell other C1
SRR10782375,Basal
SRR10785909,other C17
SRR10789528,NK cell
SRR10793351,Endothelial cell
SRR10793971,Alveolar cell type 2
SRR10793458,Alveolar cell type 1
SRR10778545,Basal
SRR10780184,T cell CD4
SRR10793591,Basal
SRR10791286,Epithelial cell other C1
SRR10780319,T cell CD4
SRR10798494,Ciliated
SRR10791773,Pericyte
SRR10793153,Monocyte conventional
SRR10778741,Macrophage
SRR10793189,Macrophage
SRR10777737,T cell CD8
SRR10783818,T cell CD4
SRR10794355,Monocyte non-conventional
SRR10787398,T cell CD4
SRR10794128,T cell CD4
SRR10781311,T cell CD4
SRR10786385,cDC2
SRR10792006,T cell CD4
SRR10783056,T cell CD8
SRR10787344,Ciliated
SRR10778523,Macrophage
SRR10795765,Ciliated
SRR10796284,Epithelial cell other C5
SRR10790886,Epithelial cell other C3
SRR10781644,B cell
