Run,cell_type
SRR10784967,Myeloid cell
SRR10780856,Myeloid cell
SRR10796354,T/NK cell
SRR10782466,Myeloid cell
SRR10797648,T/NK cell
SRR10782470,T/NK cell
SRR10794165,T/NK cell
SRR10796346,Stromal
SRR10781342,Myeloid cell
SRR10790620,Stromal
SRR10785371,Myeloid cell
SRR10777455,other
SRR10792124,other
SRR10795399,Myeloid cell
SRR10784141,Myeloid cell
SRR10791563,T/NK cell
SRR10785040,B cell plasma
SRR10786927,Endothelial cell
SRR10795444,Epithelial cells
SRR10793132,Myeloid cell
SRR10782492,B cell plasma
SRR10793356,B cell plasma
SRR10794753,Myeloid cell
SRR10781027,other
SRR10797130,Myeloid cell
SRR10784188,Endothelial cell
SRR10783079,Myeloid cell
SRR10781102,Stromal
SRR10795756,T/NK cell
SRR10779997,Myeloid cell
SRR10789226,Myeloid cell
SRR10794828,B cell plasma
SRR10785516,other
SRR10787823,Stromal
SRR10788348,T/NK cell
SRR10788896,T/NK cell
SRR10781548,T/NK cell
SRR10784242,T/NK cell
SRR10794611,Mast cell
SRR10795530,Myeloid cell
SRR10782153,Myeloid cell
SRR10779653,other
SRR10786227,Stromal
SRR10782646,T/NK cell
SRR10789134,T/NK cell
SRR10777250,Epithelial cells
SRR10791442,Stromal
SRR10789202,Epithelial cells
SRR10796534,other
SRR10784761,T/NK cell
SRR10781105,Myeloid cell
SRR10790557,Stromal
SRR10791366,Myeloid cell
SRR10777300,other
SRR10778292,Myeloid cell
SRR10783977,Myeloid cell
SRR10786838,B cell plasma
SRR10791833,Epithelial cells
SRR10796152,Ciliated
SRR10780919,T/NK cell
SRR10788633,T/NK cell
SRR10795890,Mast cell
SRR10787699,T/NK cell
SRR10794657,Myeloid cell
SRR10796900,T/NK cell
SRR10780304,Myeloid cell
SRR10794725,B cell plasma
SRR10781785,Epithelial cells
SRR10785525,Epithelial cells
SRR10787447,Myeloid cell
SRR10792556,Myeloid cell
SRR10778306,T/NK cell
SRR10794364,other
SRR10790068,Mast cell
SRR10787428,Stromal
SRR10797178,Epithelial cells
SRR10788504,Epithelial cells
SRR10793393,other
SRR10786256,Stromal
SRR10785765,Epithelial cells
SRR10778729,Myeloid cell
SRR10796847,T/NK cell
SRR10778978,T/NK cell
SRR10785590,B cell
SRR10779089,Mast cell
SRR10784710,T/NK cell
SRR10791576,Stromal
SRR10777642,Myeloid cell
SRR10790567,Myeloid cell
SRR10790232,T/NK cell
SRR10781971,Endothelial cell
SRR10782003,Epithelial cells
SRR10784549,Epithelial cells
SRR10797650,B cell plasma
SRR10781809,Myeloid cell
